scorer,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000
bodyparts,indice,indice,indice,corazon,corazon,corazon,anular,anular,anular,menique,menique,menique
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.8191685676574707,-5.502431869506836,5.6466007663402706e-05,-4.023526191711426,0.06895589828491211,0.0004165172576904297,-0.3203449249267578,-3.869657516479492,4.273352533346042e-05,-2.8623008728027344,1.231248378753662,0.00024828314781188965
1,-3.68009614944458,-5.503481864929199,5.5049087677616626e-05,-3.8456544876098633,0.17753338813781738,0.00043264031410217285,-0.28519248962402344,-3.865265369415283,4.098296631127596e-05,-2.9934587478637695,1.318122386932373,0.00025337934494018555
2,-3.6571736335754395,-5.33371639251709,6.0898637457285076e-05,-3.536223888397217,0.28550052642822266,0.0004902482032775879,-0.19144916534423828,-3.8244924545288086,4.259750130586326e-05,-3.18178653717041,1.4576051235198975,0.00026735663414001465
3,-3.618525981903076,-5.443017959594727,5.843715916853398e-05,-3.630044460296631,0.3655974864959717,0.0004597008228302002,-0.21319341659545898,-3.9711012840270996,4.102511957171373e-05,-3.279026508331299,1.4508864879608154,0.0002579689025878906
4,-3.661728858947754,-5.558004379272461,5.83840737817809e-05,-3.7320261001586914,0.41913890838623047,0.0004419684410095215,-0.21078252792358398,-4.052900314331055,4.0634105971548706e-05,-3.258157730102539,1.4621195793151855,0.00025328993797302246
5,-3.495820999145508,-5.908722877502441,5.098622932564467e-05,-4.031783103942871,0.332291841506958,0.0003592073917388916,-0.1805882453918457,-4.224373817443848,3.863060919684358e-05,-3.5294766426086426,1.5392134189605713,0.0002512037754058838
6,-3.520613670349121,-6.155004501342773,4.554755287244916e-05,-4.434778213500977,0.08300995826721191,0.0003032982349395752,-0.1870555877685547,-4.539218902587891,3.805789310717955e-05,-3.569662570953369,1.3793067932128906,0.00024449825286865234
7,-3.4956655502319336,-5.978560447692871,4.691779759014025e-05,-4.372524261474609,-0.010517597198486328,0.00033143162727355957,-0.2045741081237793,-4.484662055969238,4.105118568986654e-05,-3.571652412414551,1.384159803390503,0.00025519728660583496
8,-3.3099045753479004,-6.239091873168945,5.0353119149804115e-05,-5.0585432052612305,-0.42824220657348633,0.0002798736095428467,0.15877199172973633,-4.601227760314941,4.34508801845368e-05,-3.082721710205078,1.4473083019256592,0.00027230381965637207
9,-3.2230234146118164,-6.2572221755981445,4.63783107989002e-05,-4.791404724121094,-0.16096925735473633,0.00030294060707092285,-0.23919296264648438,-4.539306640625,4.1241895814891905e-05,-3.268764019012451,1.4265117645263672,0.0002568364143371582
10,-3.3397951126098633,-6.248785018920898,4.7498564526904374e-05,-4.712924957275391,-0.10639286041259766,0.0002929866313934326,-0.12839269638061523,-4.794238090515137,4.1197239625034854e-05,-3.5222887992858887,1.4728388786315918,0.0002497434616088867
11,-3.360189914703369,-6.336024284362793,4.648835238185711e-05,-4.478977203369141,0.03422045707702637,0.00031769275665283203,-0.3036465644836426,-4.739802360534668,3.735746577149257e-05,-3.6340885162353516,1.30023193359375,0.00024577975273132324
12,-3.1806797981262207,-6.219269752502441,5.05887292092666e-05,-4.1794891357421875,0.19986414909362793,0.00036346912384033203,-0.10590744018554688,-4.628900527954102,3.799899423029274e-05,-3.900407314300537,1.378981113433838,0.00024774670600891113
13,-3.292381763458252,-6.247982025146484,4.6455512347165495e-05,-4.545382499694824,0.10106086730957031,0.0003018975257873535,-0.030348777770996094,-4.734691619873047,3.572144123609178e-05,-3.755371570587158,1.4070279598236084,0.0002422630786895752
14,-3.087322235107422,-6.528934478759766,4.490820720093325e-05,-4.555821418762207,0.23791837692260742,0.0002980530261993408,0.0012688636779785156,-4.895134925842285,3.362606730661355e-05,-4.158188819885254,1.532226324081421,0.00023433566093444824
15,-3.2396130561828613,-6.3387861251831055,4.208139580441639e-05,-4.267749786376953,0.34768033027648926,0.0003025233745574951,-0.1358356475830078,-4.952951431274414,3.2048723369371146e-05,-4.70615291595459,1.2877163887023926,0.0002021193504333496
16,-3.124842643737793,-6.535182952880859,4.2685096559580415e-05,-4.570926666259766,0.06086587905883789,0.00028893351554870605,0.19817733764648438,-5.242368698120117,3.1037132430355996e-05,-4.6035261154174805,1.3138983249664307,0.00020644068717956543
17,-3.1407103538513184,-6.2046966552734375,4.857254316448234e-05,-4.097583770751953,0.326646089553833,0.0003510117530822754,0.0026807785034179688,-4.880870819091797,3.381083661224693e-05,-4.535556793212891,1.2696788311004639,0.0002180635929107666
18,-2.855534076690674,-6.331961631774902,4.5412747567752376e-05,-4.062105178833008,0.48748254776000977,0.0003298521041870117,0.10548830032348633,-5.08065128326416,3.15023644361645e-05,-5.167209625244141,1.2454018592834473,0.0001996457576751709
19,-2.95454740524292,-6.185430526733398,4.666741006076336e-05,-3.9785709381103516,0.5012078285217285,0.0003547966480255127,0.20180368423461914,-4.955700874328613,3.10819195874501e-05,-4.39891242980957,1.5559990406036377,0.00022336840629577637
20,-2.9577865600585938,-6.28037166595459,4.390775575302541e-05,-3.9784693717956543,0.47210097312927246,0.0003286898136138916,0.13477373123168945,-5.33229923248291,2.858347761502955e-05,-4.846800804138184,1.449047565460205,0.00019851326942443848
21,-2.9065332412719727,-5.972431182861328,4.672530121752061e-05,-3.7841944694519043,0.4430098533630371,0.0003752708435058594,0.10092425346374512,-5.288516044616699,3.016383561771363e-05,-4.669899940490723,1.6129727363586426,0.00021374225616455078
22,-2.799983024597168,-5.399106025695801,4.997108408133499e-05,-3.5157485008239746,0.36533045768737793,0.0004191100597381592,0.27365994453430176,-5.941150665283203,3.15051875077188e-05,-5.210826873779297,1.6288433074951172,0.00019162893295288086
23,-2.7764315605163574,-4.9075212478637695,5.073966894997284e-05,-3.5244126319885254,0.46886563301086426,0.00045680999755859375,0.32970404624938965,-6.068401336669922,2.993831913045142e-05,-5.396684646606445,1.693298578262329,0.00019428133964538574
24,-2.371774196624756,-4.168993949890137,5.429366137832403e-05,-3.693427562713623,0.6879396438598633,0.0005041956901550293,0.30196309089660645,-6.666200637817383,3.188820483046584e-05,-6.359857559204102,1.6396079063415527,0.00018531084060668945
25,-1.7571516036987305,-3.6140499114990234,5.701958798454143e-05,-4.296831130981445,0.0922396183013916,0.0007099509239196777,0.2882230281829834,-6.600031852722168,4.344143235357478e-05,-7.118221282958984,1.5265419483184814,0.000206679105758667
26,-1.8115010261535645,-3.9937801361083984,5.961530769127421e-05,-4.932807922363281,0.20464301109313965,0.0007841289043426514,0.10321402549743652,-6.298659324645996,4.42960845248308e-05,-7.73898983001709,1.6205158233642578,0.00020959973335266113
27,-1.7766318321228027,-4.124697685241699,5.3612016927218065e-05,-5.19921875,-0.10489225387573242,0.0007331967353820801,0.15739989280700684,-6.757534980773926,4.3581105273915455e-05,-7.954537391662598,1.3849799633026123,0.00020045042037963867
28,-1.9962077140808105,-4.214313507080078,5.176095146453008e-05,-5.694340705871582,-0.17676830291748047,0.0006303787231445312,-0.08587217330932617,-6.76680850982666,4.520654692896642e-05,-7.813450813293457,1.6916868686676025,0.00019815564155578613
29,-1.862943172454834,-4.4218292236328125,5.270413385005668e-05,-5.593144416809082,-0.21917343139648438,0.0006672441959381104,-0.13518857955932617,-7.090019226074219,4.054287273902446e-05,-8.15686321258545,1.3775036334991455,0.00020301342010498047
30,392.58685302734375,36.79574966430664,0.9972975850105286,357.3370056152344,31.850601196289062,0.3037976622581482,346.5705871582031,26.480398178100586,0.007722347974777222,330.353759765625,5.088470935821533,0.004096359014511108
31,394.78753662109375,63.72689437866211,0.9988766312599182,349.0732421875,56.60552215576172,0.7080906629562378,327.5618896484375,41.94890213012695,0.3184748888015747,291.5437927246094,6.782534599304199,0.024438291788101196
32,393.322021484375,76.1197738647461,0.9973262548446655,346.65460205078125,69.36595916748047,0.9532203674316406,328.6593017578125,52.18090057373047,0.8691137433052063,324.0196838378906,54.21394348144531,0.059939950704574585
33,396.2701110839844,83.27550506591797,0.9993811845779419,349.00994873046875,78.90129089355469,0.9752891063690186,329.2922058105469,62.56273651123047,0.935961127281189,323.6005554199219,58.62483215332031,0.1268753707408905
34,399.0242919921875,90.40742492675781,0.997893214225769,351.0307312011719,83.26545715332031,0.9942597150802612,330.72113037109375,68.9696044921875,0.9845869541168213,294.224853515625,23.843154907226562,0.46173202991485596
35,399.82928466796875,101.03799438476562,0.9995061159133911,364.9285583496094,101.1923599243164,0.9944677352905273,342.5928649902344,87.35323333740234,0.9884519577026367,304.7052917480469,32.412193298339844,0.7280153036117554
36,396.80462646484375,103.77726745605469,0.9986331462860107,365.1582336425781,103.34487915039062,0.9917052984237671,341.47198486328125,87.85030364990234,0.9838207960128784,306.8929138183594,39.890689849853516,0.6807692646980286
37,391.7980651855469,105.7117691040039,0.9986089468002319,364.7655944824219,106.64175415039062,0.9937090873718262,339.9420471191406,92.28473663330078,0.9924929141998291,305.7533264160156,42.317142486572266,0.8115294575691223
38,388.2037353515625,106.30577087402344,0.9994713068008423,364.2790832519531,108.0550537109375,0.993842601776123,341.9325256347656,96.92040252685547,0.9896905422210693,305.4373474121094,42.319602966308594,0.8553109765052795
39,385.9137268066406,107.14677429199219,0.9995816349983215,362.74346923828125,108.60057830810547,0.9892144203186035,340.0969543457031,97.61419677734375,0.9904444813728333,300.4128112792969,46.27200698852539,0.890182614326477
40,388.0428161621094,108.62158203125,0.9987666606903076,369.3145751953125,111.16439819335938,0.9733226299285889,343.2259216308594,98.04634094238281,0.9970694780349731,304.2476501464844,47.878395080566406,0.9523217678070068
41,387.7221374511719,108.3236312866211,0.9990354180335999,368.8848571777344,111.51846313476562,0.9712843298912048,343.16656494140625,98.59307861328125,0.9977822303771973,304.7140197753906,50.23747253417969,0.9784928560256958
42,387.12945556640625,109.12080383300781,0.9989882111549377,369.08648681640625,113.09033966064453,0.9831914305686951,343.922607421875,99.30558776855469,0.99714195728302,305.1323547363281,51.42870330810547,0.9852067828178406
43,388.8526611328125,109.24952697753906,0.9987968802452087,369.7636413574219,113.32537078857422,0.9812824726104736,344.7840576171875,99.30757904052734,0.9942140579223633,306.64971923828125,52.210811614990234,0.9709627628326416
44,389.1426696777344,106.75202941894531,0.996679425239563,370.6781311035156,112.3192367553711,0.9879134893417358,346.02996826171875,98.86416625976562,0.9940632581710815,308.1272277832031,53.161956787109375,0.9810743927955627
45,405.3605651855469,107.09307098388672,0.9992319941520691,367.8153381347656,105.78718566894531,0.992552638053894,352.8896179199219,96.31137084960938,0.8957555890083313,311.37921142578125,52.54100036621094,0.9680965542793274
46,416.8302307128906,115.78022003173828,0.9994981288909912,368.5811767578125,113.12523651123047,0.9792577028274536,355.14190673828125,100.680419921875,0.9860936999320984,318.1807861328125,58.66497039794922,0.9442414045333862
47,418.3157653808594,124.29964447021484,0.9991962909698486,370.12353515625,119.97574615478516,0.9596374034881592,355.7466735839844,107.34552001953125,0.9471464157104492,319.5266418457031,66.25448608398438,0.9895598292350769
48,421.73687744140625,132.6660919189453,0.9993637800216675,372.11114501953125,131.05641174316406,0.932963490486145,359.2418518066406,116.81543731689453,0.9704374074935913,322.982421875,74.51656341552734,0.9788037538528442
49,426.73883056640625,142.65447998046875,0.9978795051574707,379.7002868652344,141.33450317382812,0.8446553945541382,364.14532470703125,129.16270446777344,0.9518580436706543,326.5662841796875,84.28155517578125,0.9705134630203247
50,431.8966979980469,179.54296875,0.9995543360710144,380.4702453613281,171.9937286376953,0.6097242832183838,365.96771240234375,158.28213500976562,0.957473635673523,328.98602294921875,118.08478546142578,0.9928561449050903
51,428.25823974609375,189.93844604492188,0.9958447217941284,378.1429443359375,180.2164764404297,0.6153331995010376,363.9941101074219,168.28240966796875,0.9388032555580139,329.47900390625,128.20721435546875,0.9951437711715698
52,423.5372619628906,200.60247802734375,0.9965027570724487,371.9591064453125,187.82276916503906,0.5406941771507263,362.9258728027344,180.16798400878906,0.9406128525733948,328.36358642578125,136.04823303222656,0.9955005645751953
53,421.35113525390625,210.39187622070312,0.9993239045143127,370.60162353515625,196.32406616210938,0.5495210289955139,358.0082702636719,187.4899139404297,0.9076868891716003,328.2896423339844,144.7572021484375,0.9961902499198914
54,419.9379577636719,218.24954223632812,0.9983997344970703,370.687255859375,205.11598205566406,0.5581021904945374,358.25347900390625,196.3339080810547,0.9879395961761475,328.2118835449219,152.0803985595703,0.9975073933601379
55,416.8939514160156,239.4875030517578,0.9993492364883423,370.8412170410156,229.53372192382812,0.6872542500495911,356.82110595703125,218.93911743164062,0.9870150089263916,329.1136779785156,175.07435607910156,0.9922570586204529
56,416.67431640625,246.60264587402344,0.9989588260650635,372.08502197265625,235.7470703125,0.680992603302002,359.0847473144531,226.21852111816406,0.9937429428100586,328.6376953125,182.56016540527344,0.997776448726654
57,417.4222412109375,259.9825134277344,0.9996126890182495,372.7354736328125,249.7550048828125,0.6783624291419983,361.6055603027344,240.2177276611328,0.9872459173202515,330.3611145019531,197.39645385742188,0.9975141882896423
58,416.6269836425781,270.90966796875,0.9995168447494507,370.8702087402344,263.0578918457031,0.7012244462966919,362.80645751953125,252.45147705078125,0.9875856637954712,331.7530212402344,209.31219482421875,0.9973964095115662
