scorer,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000,DLC_resnet50_entrenamiento_mizquierdaJun9shuffle1_20000
bodyparts,indice,indice,indice,corazon,corazon,corazon,anular,anular,anular,menique,menique,menique
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.3465213775634766,716.6256103515625,8.099064871203154e-05,849.2265625,69.6435775756836,2.2130296201794408e-05,859.39208984375,605.9044189453125,2.1351046598283574e-05,994.4434814453125,-0.2933783531188965,7.643417120561935e-06
1,-3.382229804992676,716.61474609375,7.492017903132364e-05,849.4107666015625,69.62857818603516,2.2697573513141833e-05,859.414306640625,605.6741333007812,2.4173472411348484e-05,994.4434814453125,-0.29340028762817383,7.643300705240108e-06
2,-3.3822813034057617,716.6145629882812,7.494469173252583e-05,849.2496337890625,69.54851531982422,2.262325506308116e-05,859.2542114257812,605.7916870117188,2.1543166440096684e-05,994.443359375,-0.2934379577636719,7.643971002835315e-06
3,-3.382269859313965,716.6146240234375,7.493582961615175e-05,849.1692504882812,69.61082458496094,1.632465864531696e-05,859.3648681640625,605.7046508789062,2.143945857824292e-05,994.4428100585938,-0.29351282119750977,7.648433893336914e-06
4,-3.382246494293213,716.6146850585938,7.49184619053267e-05,849.1019287109375,69.5829849243164,1.5659674318158068e-05,859.4608764648438,605.6288452148438,2.143978599633556e-05,994.4425048828125,-0.29344987869262695,7.647813617950305e-06
5,-3.3822717666625977,716.6146240234375,7.493061275454238e-05,849.291015625,69.63383483886719,1.5954667105688713e-05,859.80712890625,605.5974731445312,2.027796108450275e-05,994.4424438476562,-0.2935805320739746,7.649236067663878e-06
6,-3.3823394775390625,716.6145629882812,7.493203884223476e-05,849.1368408203125,69.59455871582031,1.7605034372536466e-05,859.7447509765625,605.572509765625,1.8959342924063094e-05,994.4424438476562,-0.2935004234313965,7.648361133760773e-06
7,-3.3822731971740723,716.6146850585938,7.493575685657561e-05,849.2262573242188,69.71815490722656,1.719263855193276e-05,859.6959838867188,605.6748657226562,2.0025687263114378e-05,994.442138671875,-0.293548583984375,7.650104635104071e-06
8,-3.38228702545166,716.6146240234375,7.493389421142638e-05,849.168701171875,69.61241149902344,1.7457688954891637e-05,859.542236328125,605.7680053710938,2.37644726439612e-05,994.4422607421875,-0.29354190826416016,7.64895958127454e-06
9,-3.382288932800293,716.6146240234375,7.492896838812158e-05,849.1163940429688,69.57581329345703,1.6732534277252853e-05,859.794189453125,605.6937866210938,2.2169522708281875e-05,994.443115234375,-0.2937335968017578,7.64825199439656e-06
10,-3.382338523864746,716.6145629882812,7.493532757507637e-05,849.3212280273438,69.58219146728516,1.9281265849713236e-05,859.8333740234375,605.7787475585938,2.1246905816951767e-05,994.4425659179688,-0.29382944107055664,7.651439773326274e-06
11,-3.382254123687744,716.61474609375,7.491146243410185e-05,849.4054565429688,69.4902114868164,1.814189090509899e-05,859.9375,605.728515625,1.8030226783594117e-05,994.4428100585938,-0.29391002655029297,7.650855877727736e-06
12,-3.382333278656006,716.6145629882812,7.491789438063279e-05,849.0936889648438,69.4827880859375,1.6232164853136055e-05,859.4190063476562,605.6878662109375,2.5100047423620708e-05,994.4423217773438,-0.29363059997558594,7.650877705600578e-06
13,-3.38223934173584,716.6146850585938,7.487539551220834e-05,849.2730102539062,69.53789520263672,1.751639138092287e-05,859.2742919921875,605.6185913085938,2.0320259864092804e-05,994.4425048828125,-0.29360437393188477,7.650987754459493e-06
14,-3.382260322570801,716.6146850585938,7.489124254789203e-05,849.1641845703125,69.38773345947266,1.5979518138919957e-05,859.5776977539062,605.6926879882812,1.986012648558244e-05,994.4419555664062,-0.2938504219055176,7.654301043658052e-06
15,-3.382174491882324,716.6148071289062,7.485933019779623e-05,849.246826171875,69.5985336303711,1.7450796804041602e-05,859.7205810546875,605.7364501953125,1.8191371054854244e-05,994.4428100585938,-0.29360437393188477,7.650046427443158e-06
16,-3.382284641265869,716.6146850585938,7.490960706491023e-05,849.1753540039062,69.47511291503906,1.95914017240284e-05,859.7525634765625,605.7843627929688,1.792664988897741e-05,994.4421997070312,-0.29375505447387695,7.653169632249046e-06
17,-3.382275104522705,716.61474609375,7.488724804716185e-05,849.5276489257812,69.58200073242188,1.7286334696109407e-05,859.7737426757812,605.7401123046875,1.8448175978846848e-05,994.4420166015625,-0.29392480850219727,7.65662935009459e-06
18,-3.38230562210083,716.6145629882812,7.49244645703584e-05,849.28759765625,69.49301147460938,1.5720006558694877e-05,859.5491943359375,605.7203369140625,1.670291203481611e-05,994.4420776367188,-0.2940073013305664,7.656520210730378e-06
19,-3.382302761077881,716.6146240234375,7.490196003345773e-05,848.783447265625,69.5128402709961,1.5294044715119526e-05,859.5822143554688,605.6815185546875,1.648250145080965e-05,994.4432373046875,-0.2940402030944824,7.651884516235441e-06
20,-3.382275104522705,716.6146850585938,7.490596181014553e-05,848.7521362304688,69.2966079711914,1.562889519846067e-05,859.9948120117188,605.530517578125,1.6585214325459674e-05,994.4424438476562,-0.2933945655822754,7.651038686162792e-06
21,-3.382275104522705,716.6146850585938,7.488210394512862e-05,848.7374877929688,69.45801544189453,1.4194461982697248e-05,859.6493530273438,605.73583984375,2.1396379452198744e-05,994.4424438476562,-0.2937002182006836,7.653899046999868e-06
22,-3.3823037147521973,716.61474609375,7.490910502383485e-05,848.9254150390625,69.45274353027344,1.2882157534477301e-05,859.6765747070312,605.7437133789062,1.760253326210659e-05,994.44189453125,-0.2941603660583496,7.657673450012226e-06
23,-3.3823208808898926,716.6146850585938,7.489017298212275e-05,848.9529418945312,69.55191040039062,1.542632162454538e-05,859.7435913085938,605.7238159179688,1.4994098819443025e-05,994.4427490234375,-0.29334354400634766,7.647989150427748e-06
24,-3.3823704719543457,716.6145629882812,7.495004683732986e-05,848.6532592773438,69.6903305053711,1.5066068044689018e-05,859.8204345703125,605.7603149414062,1.9203733245376498e-05,994.4425048828125,-0.2934122085571289,7.650790394109208e-06
25,-3.3824033737182617,716.6145629882812,7.497964543290436e-05,848.8458862304688,69.55755615234375,1.4620036381529644e-05,859.3646240234375,605.62890625,1.7258644220419228e-05,994.4421997070312,-0.2936091423034668,7.653206012037117e-06
26,-3.382415771484375,716.614501953125,7.495855243178084e-05,848.748046875,69.73472595214844,1.568707375554368e-05,859.65966796875,605.6549072265625,2.1370318791014142e-05,994.4424438476562,-0.293668270111084,7.652753083675634e-06
27,-3.382296085357666,716.6146850585938,7.494125748053193e-05,849.1054077148438,69.5361328125,1.539084769319743e-05,859.6600952148438,605.6326293945312,2.228001358162146e-05,994.4422607421875,-0.29369163513183594,7.65257118473528e-06
28,-3.3823323249816895,716.6146240234375,7.492818258469924e-05,849.0801391601562,69.51032257080078,1.6040285117924213e-05,859.613525390625,605.6264038085938,1.9986746337963268e-05,994.4431762695312,-0.2934718132019043,7.648521204828285e-06
29,-3.38242769241333,716.6144409179688,7.49797181924805e-05,848.64013671875,69.39442443847656,1.560543751111254e-05,859.4743041992188,605.5947875976562,2.47679327003425e-05,994.4429931640625,-0.2937946319580078,7.650505722267553e-06
30,406.7264404296875,42.05690383911133,0.00014773011207580566,402.3423767089844,49.98177719116211,3.882343662553467e-05,406.05755615234375,41.911651611328125,3.494404154480435e-05,411.0840148925781,39.73854064941406,1.0950976502499543e-05
31,405.9526062011719,53.35170364379883,0.012912601232528687,398.2397766113281,50.87441635131836,0.5552850961685181,407.96484375,53.914493560791016,0.21062275767326355,409.765380859375,50.48561096191406,0.02515539526939392
32,377.0140686035156,49.4119873046875,0.9152148365974426,398.7209167480469,61.40772247314453,0.9843660593032837,410.04071044921875,65.85213470458984,0.9721498489379883,412.4125671386719,58.9799690246582,0.10004010796546936
33,379.9813232421875,66.44670104980469,0.9832594394683838,399.131103515625,82.64230346679688,0.9927244782447815,414.7981262207031,86.52812194824219,0.9963370561599731,441.9909973144531,52.97577667236328,0.9353190064430237
34,378.5399169921875,94.39888763427734,0.991995096206665,398.2239685058594,105.8961181640625,0.9932175874710083,420.67779541015625,104.60258483886719,0.9939632415771484,443.5124816894531,68.87007904052734,0.9896221160888672
35,367.6354064941406,159.49636840820312,0.9990932941436768,385.3031005859375,174.55638122558594,0.9965433478355408,417.5023498535156,173.44186401367188,0.9939815998077393,439.89898681640625,130.40234375,0.9996582269668579
36,361.49951171875,177.9382781982422,0.9998794794082642,376.6899108886719,196.66188049316406,0.9936646223068237,414.26287841796875,188.93206787109375,0.9942516088485718,435.7310485839844,150.17340087890625,0.9998615980148315
37,343.5944519042969,210.8789825439453,0.9999082088470459,369.8686828613281,228.14732360839844,0.9989662170410156,413.29046630859375,219.30230712890625,0.9841116666793823,427.73675537109375,178.64137268066406,0.9986649751663208
38,325.3028869628906,238.9174041748047,0.9998297691345215,357.1163330078125,251.2794189453125,0.9979239702224731,403.32550048828125,242.36036682128906,0.9966081380844116,418.29107666015625,202.69747924804688,0.9991700649261475
39,318.7540283203125,251.28677368164062,0.997602105140686,352.1942443847656,258.3208312988281,0.9937446117401123,398.9373779296875,252.0128631591797,0.994088888168335,413.51519775390625,211.24501037597656,0.9984789490699768
40,300.4651184082031,273.6317138671875,0.9987341165542603,375.6955261230469,282.9277038574219,0.9921354055404663,384.9459533691406,272.29168701171875,0.9942311644554138,400.8077392578125,233.4159698486328,0.9992603063583374
41,286.67156982421875,288.2684631347656,0.9983670711517334,326.1257019042969,287.9023132324219,0.9908236265182495,376.65972900390625,284.55535888671875,0.9775771498680115,389.3451232910156,243.6053009033203,0.9997348785400391
42,280.4235534667969,290.6902160644531,0.9998531341552734,359.2257385253906,295.6632385253906,0.9965183138847351,370.976318359375,289.01263427734375,0.9924522638320923,385.62713623046875,249.5184326171875,0.9995936155319214
43,276.3033447265625,295.9894104003906,0.9998158812522888,355.3647155761719,301.1080017089844,0.9968937635421753,365.05023193359375,291.46368408203125,0.9767348766326904,380.0345458984375,251.910888671875,0.9930382370948792
44,272.8452453613281,298.36279296875,0.9991585612297058,350.2428283691406,301.684326171875,0.9913288354873657,361.630859375,295.7288513183594,0.9666624665260315,377.2366638183594,254.16412353515625,0.9987269639968872
45,262.9880676269531,301.01605224609375,0.9996861219406128,340.83447265625,304.6308898925781,0.998598039150238,348.4751892089844,294.76220703125,0.9392300844192505,367.14862060546875,258.30255126953125,0.9995611906051636
46,264.21478271484375,303.1692199707031,0.9998513460159302,339.48687744140625,304.3474426269531,0.9984986782073975,349.5218811035156,297.44268798828125,0.9311242699623108,366.2701416015625,258.8342590332031,0.998735785484314
47,264.2793273925781,304.4118957519531,0.9998587369918823,341.36126708984375,303.13214111328125,0.9959467053413391,349.16705322265625,296.4519348144531,0.9359701871871948,365.7814636230469,258.9292297363281,0.9977913498878479
48,265.1585693359375,305.0057373046875,0.9998304843902588,304.5858459472656,303.3483581542969,0.9283722639083862,339.2572937011719,290.9709777832031,0.9949066042900085,360.0328063964844,259.06719970703125,0.9973390102386475
49,264.2947692871094,304.5105285644531,0.9998244643211365,332.1987609863281,299.52783203125,0.6288398504257202,338.5621032714844,288.2743225097656,0.9774428606033325,358.3238220214844,257.1049499511719,0.9967114925384521
50,264.7523193359375,304.9160461425781,0.9998210072517395,310.60479736328125,299.7792663574219,0.7267999053001404,335.45440673828125,284.63201904296875,0.9845890402793884,357.53338623046875,252.73756408691406,0.9777230024337769
51,265.18756103515625,305.42742919921875,0.9997971057891846,324.4477844238281,298.78668212890625,0.6394685506820679,333.9510192871094,285.3029479980469,0.9794437885284424,356.9563293457031,253.23109436035156,0.9844814538955688
52,265.855224609375,306.24957275390625,0.9997254610061646,324.2301330566406,299.2010803222656,0.8414291143417358,333.61907958984375,285.589599609375,0.9828331470489502,357.2138366699219,253.2350616455078,0.9817602038383484
53,266.25164794921875,307.0776062011719,0.9996529817581177,324.1567687988281,300.9292297363281,0.796837329864502,334.3223876953125,286.7470703125,0.9907917976379395,356.35223388671875,255.097412109375,0.9903182983398438
54,266.5973815917969,307.30963134765625,0.9995514750480652,324.03021240234375,300.5428161621094,0.5594589114189148,333.86981201171875,286.5648498535156,0.9875130653381348,356.3455810546875,255.09007263183594,0.9860844612121582
55,276.96551513671875,308.0666809082031,0.9993218779563904,282.366943359375,314.4691162109375,0.6537787914276123,343.4727783203125,286.9190673828125,0.9679978489875793,363.419189453125,255.5338134765625,0.9365705251693726
56,286.3301086425781,310.765625,0.9979665279388428,291.027099609375,315.1129150390625,0.5703487396240234,350.1557922363281,285.2433776855469,0.9837931394577026,374.85760498046875,252.87217712402344,0.9593690633773804
57,300.64202880859375,312.3382568359375,0.9982339143753052,346.67529296875,300.119384765625,0.9537038803100586,365.60760498046875,290.7021179199219,0.9874653816223145,388.6282653808594,252.68104553222656,0.9600691795349121
58,318.7403564453125,316.3865051269531,0.9849464893341064,326.16900634765625,318.1488037109375,0.9668077230453491,381.4597473144531,287.61358642578125,0.9737321138381958,405.61004638671875,252.98605346679688,0.9486421346664429
59,367.44171142578125,321.3752746582031,0.9453836679458618,375.27294921875,324.5041198730469,0.9974619150161743,426.1402587890625,291.8277893066406,0.9687284827232361,445.226806640625,252.0222930908203,0.9027323722839355
